Number,Project Name,Links,Description,Host/Recipient Country/ies,Provider Country/ies,Regions Involved,Entity/ies Supporting and/or Implementing,Is the private sector involved?,Does it involve LDCs?,UNDP as Implementor,UNDP as Donor,Start year,End year,Thematic Areas,Primary SDG Contribution,Secondary SDG Contribution
1,Chile Fund against Hunger and Poverty,"https://my.southsouth-galaxy.org/en/solutions/detail/chile-fund-against-hunger-and-poverty,https://fondochile.cl/","The project aimed to alleviate poverty and hunger primarily in Chile by financing and supporting projects that promote sustainable livelihoods, social protection, and food security for vulnerable populations. The fund also works to strengthen local capacities, promote participation and collaboration among different actors, and provide technical assistance and knowledge exchange with other countries. The Government of Chile shared its social and economic transformation experience with other countries(Gaza, Mali, South Sudan, and over 30 countries)through South-South cooperation that can accelerate social and economic progress.The Fund has awarded over $12 million to 82 South-South cooperation projects in over 30 countries in Africa, LAC, and the Pacific. ",,CHL,"Africa,LAC,Asia Pacific","Government of Chile(Chilean International Cooperation Agency),UNDP",,YES,,,2011,2016,Poverty and Inequality,SDG2,"SDG2,SDG17"
13,Caribbean Risk Management Initiative ,https://www.undp.org/jamaica/publications/sharing-what-works-south-south-cooperation-disaster-risk-reduction-caribbean;https://my.southsouth-galaxy.org/en/solutions/detail/Caribbean-Risk-Management-Initiative,"The project aimed to improve disaster risk management in the Caribbean. It involved developing plans and policies to reduce the impact of natural disasters, as well as providing training and resources to help communities prepare for and respond to disasters. This 2nd phase of the CRMI focused on strengthening risk analysis and reduction at a local level. UNDP facilitated a south-south cooperation model, whereby Cuba's best practices in risk reduction  were systematized, transferred and adapted to five municipalities in the Dominican Republic, Guyana, Jamaica, Trinidad and Tobago, and British Virgin Islands.","DOM,GUY,JAM,TTO,VGB",CUB,LAC,UNDP,,,YES,,2011,2015,Resilience,SDG13,"SDG11,SDG17"
17,TRANSFORM ,"https://my.southsouth-galaxy.org/en/solutions/detail/TRANSFORM,www.transformsp.org","TRANSFORM is an innovative learning package on the administration of social protection floors in Africa and the Arab region.The primary objective of TRANSFORM is to build critical thinking and capacities of policymakers and practitioners at national and decentralized levels to improve the design, effectiveness and efficiency of social protection systems. This is achieved through South-South cooperation and peer learning among experts. TRANSFORM was developed in 2016 in the Southern African region under leadership of ILO,UNICEF,UNDP and IPC-IG,with support of Irish Aid and the EU-SPS programme.The capacity building and leadership initiative has seen tremendous development and growth since then. Starting with one introductory course and a small group of expert trainers in Southern Africa, the initiative now hosts four Master Trainer cohorts (English, French, Portuguese and Arabic Speaking), offers up to ten different(on and offline)courses and has been implemented in over twenty countries across the African and Arab region. TRANSFORM Africa and Arab region each have their own multi-agency steering committee, Advisory Group (Africa only) and coordination, while built on the same principles. In the African region, over 120 TRANSFORM applications have been delivered thus far to 2500+ participants. Results show that TRANSFORM has influenced thinking and action on the continent in different ways. TRANSFORM  training applications contributed direclty to institutional mind shifts and changes in policy and programme towards more inclusive, sustainable and efficient systems in implementing countries in conjunction with technical support provided by SP partners. In addition, through its Master Trainer groups as well as supporting agencies,  TRANSFORM has brought together and grown a strong network (movement) of regional SP experts and champions, with growing skills and influence(Government, UN and consultants). TRANSFORM offers its leanring materials as a public good which makes it available for different uses by a wide range of stakehodlers. In several countries, TRANSFORM has been adopted as preferred capacity building tool by national governemnts and in some cases national leanring institutes have adapted the curriculum and trained their own staff in the teaching approach, ensuring a more sustainable and larger scale knowledge transfer (Ghana, Tunisia, Kenya). This initiative will have the potential to support the relevant state and non-state actors in the Arab States in leading change and transformation in their own social protection systems, enable constructive and informed dialogue and support efforts towards social justice. By building a network of social protection practitioners, professionals and (academic) experts from the Arab region and by providing a platform for dialogue, TRANSFORM promotes regional exchange, coalition building and contributes to a culture of social protection in the Arabic language. In particular, the initiative will be able to support countries in addressing ongoing challenges including those concerning the transition from humanitarian to social protection support, coverage of non-nationals and strengthening linkages to the insurance sector, with a focus on efficient and sustainable digital data management and information systems. TRANSFORM is already embedded in national technical assistance projects in several countries in the region(Iraq, Lebanon,OPT,Jordan) and demand has been expressed by among others Tunisia, Egypt,Mauritania and Yemen. ","ETH,GHA,KEN,LSO,MWI,MUS,MOZ,ZAF,TZA,ZMB,ZWE,CMR,MRT,UGA,SOM,BWA,AGO,MOZ,SSD,STP,CPV,GMB,TUN,JOR,SDN,PSE,SYR,IRQ","ETH,GHA,KEN,LSO,MWI,MUS,MOZ,ZAF,TZA,ZMB,ZWE,TUN,JOR,SDN,PSE,SYR,IRQ","Africa,MENA","African Union,UNICEF,UNDP,ILO,IPC-IG,EU-SPS,Irish Aid,Southern Africa Social Protection Experts Network-SASPEN,ECOWAS,FES,WFP,FAO,ESCWA,UNDP",YES,YES,YES,,2015,Present,Governance,SDG1,"SDG3,SDG5,SDG8,SDG10,SDG17,SDG1"
20,Regional cooperation as an effective tool in advancing gender equality,https://my.southsouth-galaxy.org/en/solutions/detail/regional-cooperation-as-an-effective-tool-in-advancing-gender-equality,"The project aimed to promote gender equality and women's empowerment in MENA region by fostering regional cooperation and knowledge sharing. The initiative focused on areas such as women's economic empowerment. The project participants from the countries (Bosnia and Herzegovina, the former Yugoslav Republic of Macedonia, Montenegro, Serbia) participated workshops and created an online platform for the regional network of gender trainers of all four countries, under the auspices of UNDP/SEESAC, and used it for the knowledge exchange and sharing.","BIH,MKD,MNE,SRB","BIH,MKD,MNE,SRB",Europe,"UNDP/SEESAC,Ministries of Defence of Bosnia and Herzegovina,the former Yugoslav Republic of Macedonia,Montenegro,and Serbia",,,,,2012,2015,"Gender Equality,Governance",SDG5,SDG17
22,China/Ghana/Zambia South-South Cooperation on Renewable Energy Technology Transfer ,https://my.southsouth-galaxy.org/en/solutions/detail/renewable-energy-technology-transfer-from-china-to-ghana-and-zambia,"The project aimed to provide technical expertise, knowledge and technology transfer for renewable energy to these countries. This project has helped in reducing their dependency on fossil fuels and increasing access to sustainable energy. Workshops and  sessions were held in China, Ghana and Zambia to facilitate the exchange of best practice as well as to establish solid foundations for stakeholder alliances that include the private sector. Discussions are underway on replicating the projects in other countries, building on existing UNDP engagements. Countries and other stakeholders involved need strong coordination and willingness to cooperate and learn from each others experiences.","GHA,ZMB","CHN,DNK","Africa,Asia Pacific,Europe","Denmark,UNDP,Respective Governments",YES,YES,YES,,2014,2019,Energy,SDG7,"SDG1,SDG17"
26,Building Back Better for a Climate- Resilient Caribbean ,https://my.southsouth-galaxy.org/en/solutions/detail/building-back-better-for-a-climate-resilient-caribbean,"The project aimed to support Caribbean countries in building their resilience to climate change and natural disasters. The project focused on enhancing preparedness and response capacities, and improving infrastructure and building codes to withstand natural disasters. Government of China, UNDP and governments in Antigua and Barbuda and Dominica quickly kicked off a disaster restoration initiative to support building-back efforts on both islands.","ATG,DMA",CHN,"Asia Pacific,LAC",UNDP and respective governments,YES,YES,YES,,2017,2018,"Resilience,Environment",SDG11,"SDG1,SDG3,SDG4,SDG13,SDG17"
27,Post-Disaster Emergency Response in South Asia ,https://my.southsouth-galaxy.org/en/solutions/detail/post-disaster-emergency-response-in-south-asia-1,"The project aimed to enhance disaster response capacities in Bangladesh, Nepal, and Pakistan. The project provided training, equipment and technical expertise to enhance disaster response and reduce the impact of disasters. Government of China partnered with UNDP to provide financial assistance to Bangladesh, Nepal and Pakistan through the South-South Cooperation Assistance Fund.","BGD,NPL,PAK",CHN,Asia Pacific,UNDP and respective governments,,YES,YES,,2017,2018,"Resilience,Governance",SDG11,"SDG1,SDG3,SDG4,SDG5,SDG8,SDG17"
28,Strengthening Disaster Risk Management in Malawi ,https://my.southsouth-galaxy.org/en/solutions/detail/strengthening-disaster-risk-management-in-malawi,"UNDP China and the Chinese Ministry of Commerce formulated and approved a new disaster risk management project with the government of Malawi. The trilateral cooperation project aims to increase community resilience to flooding in disaster-affected districts through the introduction of rural communities to technically feasible, locally available, and environmentally implementable and socially responsible disaster risk management solutions.",MWI,CHN,"Asia Pacific,Africa","UNDP,Governments of Malawi and China",YES,YES,YES,YES,2016,2018,"Environment,Resilience",SDG11,"SDG1,SDG9,SDG13,SDG17"
29,Technology Transfer of a Micro- Hydroelectric Energy System ,https://my.southsouth-galaxy.org/en/solutions/detail/technology-transfer-of-a-micro-hydroelectric-energy-system,"The project aimed to provide micro-hydroelectric power to remote rural communities in Haiti, thus improving access to electricity and reducing reliance on fossil fuels. Global Environmental Facility Small Grants Programme (GEF SGP) Haiti initiated a South-South cooperation exchange with GEF SGP Dominican Republic to draw on the latter expertise in establishing a community-led micro- hydroelectric system.",HTI,DOM,LAC,"UNDP,GEF Small Grants Programme,Guakia Ambiente (NGO) ",,YES,,,2009,2016,"Energy,Environment",SDG13,SDG17
35,YouthConnekt Africa: A Youth Empowerment Programme in Africa ,https://my.southsouth-galaxy.org/en/solutions/detail/youthconnekt-africa-a-youth-empowerment-programme-in-africa,"This project - YouthConnekt took a platform approach to solving challenging development issues, and brings together a wide range of stakeholders, including heads of states, business leaders, development partners and the civil society, to address the multiple needs of young people while also fully involving them in the solution-building process. YouthConnekt is a youth empowerment programme that was launched in Rwanda in 2012 and is currently being rolled out across Africa (see recipent countries). Indeed, inspired by the achievements of the YouthConnekt Rwanda initiative, several other African countries with the support of UNDP country offices have demonstrated strong interest in learning about YCA model. As a result, YouthConnekt has scaled up beyond Rwanda to 21 African countries.In many cases, partners simply integrated YouthConnekt components into ongoing programmes and as such also benefited by amplifying their initiatives through the programme. YCA is a great example of how local partnerships pave the way for regional partnership which eventually help YouthConnekt Rwanda to be YouthConnekt Africa. Private sectors contributed to this project. ","CMR,CPV,COD,ETH,GMB,GHA,GIN,LBR,MDG,RWA,COG,STP,SEN,SLE,TGO,UGA,ZMB,ZWE","RWA,KOR,DEU","Africa,Asia Pacific,Europe","UNDP,Korea International Cooperation Agency(KOICA),African Development Bank,African Union,Deut-sche Gesellschaft for Internationale Zusammenarbeit(GIZ),Ministry of Youth,Government of Rwanda",YES,YES,,,2012,2022,Governance,SDG1,"SDG4,SDG5,SDG8,SDG9,SDG10,SDG13,SDG16,SDG17"
36,The Use of Digital Technology to Improve Vaccine Delivery in India and Indonesia ,https://my.southsouth-galaxy.org/en/solutions/detail/the-use-of-digital-technology-to-improve-vaccine-delivery-in-india-and-indonesia,"The Electronic Vaccine Intelligence Network (eVIN) is a digital mobile and web-based system that enables real-time visibility of the vaccine supply chain and cold-chain logistics. It provides end-to-end tracking of vaccine inventory, automated data analytics and instant alerts to support quick and effective decision-making and action. The project promoted access and delivery of health technologies through the South-South exchange of innovative technology, knowledge and solutions. UNDP established a knowledge hub in India to promote South-South engagement and cooperation on eVIN (Electronic Vaccine Intelligence Network) and other digital health and supply chain management aspects.",IDN,IND,Asia Pacific,"UNDP,Gavi the Vaccine Alliance,Ministry of Health and Family Welfare(India),Ministry of Health(Indonesia)",,,YES,,2017,2019,"Governance,Resilience",SDG3,SDG17
37,The Vocational Education and Training Programme for the Member States of the Organization of Islamic Cooperation (OIC),https://my.southsouth-galaxy.org/en/solutions/detail/the-vocational-education-and-training-programme-for-the-member-states-of-the-organization-of-islamic-cooperation-oic,"The project aimed to enhance vocational education and training among Organization of Islamic Cooperation (OIC) member states by developing policies and guidelines,building capacities,and improving access to quality vocational education and training.The programme was designed to scale up SSTC and knowledge exchange through innovative and holistic approaches among the relevant national Vocational Education and Training Programme authorities of the Member States. To assess the needs of technical and vocational education systems in the OIC Member States,SESRIC,in cooperation with six international institutions,including UNDP IICPSD and 24 OIC Member States,developed the OIC-TVET Strategic Roadmap 2020 to 2025. OIC institutions and UN agencies had significant roles in supporting the OIC-VET with their valuable inputs,which illustrated effective SSC and TrC among all stakeholders working hand in hand for the success and sustainability of this good practice. ","AZE,JOR,AFG,ALB,ARE,IDN,UZB,UGA,IRN,PAK,BHR,BRN,BGD,BEN,BFA,TJK,TUR,TKM,TCD,TGO,TUN,DZA,DJI,SAU,SEN,SDN,SYR,SUR,SLE,SOM,IRQ,OMN,GAB,GMB,GUY,GIN,GNB,PSE,COM,KGZ,QAT,KAZ,CMR,CIV,KWT,LBN,LBY,MDV,MLI,MYS,EGY,MAR,MRT,MOZ,NER,NGA,YEM","AZE,JOR,AFG,ALB,ARE,IDN,UZB,UGA,IRN,PAK,BHR,BRN,BGD,BEN,BFA,TJK,TUR,TKM,TCD,TGO,TUN,DZA,DJI,SAU,SEN,SDN,SYR,SUR,SLE,SOM,IRQ,OMN,GAB,GMB,GUY,GIN,GNB,PSE,COM,KGZ,QAT,KAZ,CMR,CIV,KWT,LBN,LBY,MDV,MLI,MYS,EGY,MAR,MRT,MOZ,NER,NGA,YEM","Asia Pacific,Africa,MENA,Europe","UNDP IICPSD,OIC Member States,OIC General Secretariat,the Standing Committee for Economic and Commercial Cooperation of the Organization of the Islamic Cooperation(COMCEC),Statistical,Economic and Social Research and Training Centre for Islamic Countries",,YES,,,2009,Present,Governance,SDG4,"SDG8,SDG17"
